numrooms,sqauremeters,level,price,distrcit,builtyear,ceilinghight,seller,bathroomtype,repaired
2,56.7,3,38000000,Жетысуский,2006,2.7,Хозяин недвижимости,санузел раздельный,0
3,100.0,13,59000000,Бостандыкский,2019,2.85,Специалист,санузел совмещенный,0
1,45.8,3,59600000,Бостандыкский,2022,3.0,Специалист,санузел совмещенный,1
2,67.0,4,28400000,Алатауский,2012,2.8,Специалист,санузел раздельный,1
3,93.0,2,55000000,Алатауский,2018,3.0,Хозяин недвижимости,санузел 2 с/у и более,1
4,144.0,3,77000000,Ауэзовский,2006,2.8,Хозяин недвижимости,санузел раздельный,0
3,132.0,5,55000000,Наурызбайский,2012,2.8,Хозяин недвижимости,санузел раздельный,0
3,123.0,5,91000000,Бостандыкский,2005,3.0,Хозяин недвижимости,санузел совмещенный,0
3,116.0,10,127000000,Алмалинский,2019,2.75,Хозяин недвижимости,санузел 2 с/у и более,1
2,41.8,2,28500000,Бостандыкский,1963,2.4,Хозяин недвижимости,санузел совмещенный,0
1,50.0,4,34000000,Ауэзовский,2006,3,Хозяин недвижимости,санузел совмещенный,1
3,61.3,3,36999999,Алмалинский,1971,2.65,Специалист,санузел раздельный,0
2,83.0,4,85000000,Бостандыкский,2011,2.8,Хозяин недвижимости,санузел раздельный,1
1,23.7,1,16800000,Турксибский,2022,2.7,Хозяин недвижимости,санузел совмещенный,0
3,90.0,7,56000000,Алатауский,2015,2.8,Хозяин недвижимости,санузел 2 с/у и более,0
4,140.0,9,96000000,Ауэзовский,2005,2.7,Хозяин недвижимости,санузел 2 с/у и более,1
3,143.0,5,221650000,Бостандыкский,2015,2.8,Хозяин недвижимости,санузел раздельный,1
3,64.0,5,63300000,Бостандыкский,1989,2.8,Специалист,санузел раздельный,0
2,69.0,7,49500000,Ауэзовский,2008,2.8,Хозяин недвижимости,санузел раздельный,0
2,77.0,3,54000000,Алмалинский,2012,2.8,Крыша Агент,санузел совмещенный,1
4,130.0,3,85000000,Медеуский,1980,2.7,Специалист,санузел 2 с/у и более,0
3,74.0,5,49000000,Алмалинский,2023,2.8,Хозяин недвижимости,санузел 2 с/у и более,0
2,46.0,1,26500000,Ауэзовский,1966,2.7,Специалист,санузел совмещенный,1
3,74.0,1,70000000,Наурызбайский,2020,3.2,Специалист,санузел 2 с/у и более,0
2,50.0,2,48000000,Медеуский,2021,2.7,Компания,санузел совмещенный,0
1,36.0,6,24000000,Алатауский,2018,2.7,Компания,санузел совмещенный,0
1,25.0,2,16000000,Турксибский,1979,2.8,Крыша Агент,санузел совмещенный,1
3,115.5,8,127050000,Медеуский,2021,3.0,Специалист,санузел 2 с/у и более,0
2,69.0,14,52999000,Бостандыкский,2016,3.0,Специалист,санузел совмещенный,1
1,44.0,3,22000000,Турксибский,2018,2.8,Хозяин недвижимости,санузел совмещенный,0
2,71.1,3,52000000,Ауэзовский,2015,2.7,Специалист,санузел 2 с/у и более,0
2,53.5,7,33500000,Бостандыкский,2023,2.7,Специалист,санузел совмещенный,0
5,232.0,7,282000000,Медеуский,2017,3.5,Специалист,санузел 2 с/у и более,0
3,67.0,2,42000000,Наурызбайский,2022,2.7,Специалист,санузел совмещенный,0
1,34.0,5,26900000,Ауэзовский,2023,2.9,Хозяин недвижимости,санузел совмещенный,1
3,72.0,2,45000000,Ауэзовский,1992,2.7,Хозяин недвижимости,санузел раздельный,0
2,72.9,5,32221800,Ауэзовский,2024,3.0,Специалист,санузел совмещенный,0
1,46.0,5,21750780,Райымбека,2023,3.0,Специалист,санузел совмещенный,0
4,162.0,8,135000000,Медеуский,2008,3.0,Специалист,санузел 2 с/у и более,1
1,46.18,5,21750780,Ауэзовский,2024,3.0,Специалист,санузел совмещенный,0
1,30.0,3,22750000,Алмалинский,1971,2.8,Специалист,санузел совмещенный,-1
2,50.7,3,44500000,Алмалинский,1986,2.6,Хозяин недвижимости,санузел раздельный,0
4,83.0,5,61000000,Ауэзовский,1990,2.7,Хозяин недвижимости,санузел раздельный,1
3,56.9,5,34800000,Алмалинский,1984,2.65,Хозяин недвижимости,санузел раздельный,1
2,50.0,12,47000000,Бостандыкский,2022,3.0,Хозяин недвижимости,санузел совмещенный,1
2,127.0,2,125000000,Бостандыкский,2012,3.0,Хозяин недвижимости,санузел 2 с/у и более,0
2,55.2,1,48500000,Бостандыкский,2023,2.74,Хозяин недвижимости,санузел совмещенный,0
2,48.0,3,35000000,Алмалинский,1987,2.7,Хозяин недвижимости,санузел совмещенный,0
1,43.0,2,34900000,Бостандыкский,1983,2.7,Хозяин недвижимости,санузел совмещенный,1
3,95.0,8,71000000,Алмалинский,2023,2.7,Хозяин недвижимости,санузел совмещенный,1
