numrooms,sqauremeters,levels_on_building,level,price,distrcit,microdistrict,street,builtyear,ceilinghight,seller,bathroomtype,repaired
2,56.7,9,3,38000000,жетысуский,nan,райымбека 245б — проспект райымбека,2006,2.7,Хозяин недвижимости,раздельный,nan
3,100.0,16,13,59000000,бостандыкский,nan,сатпаева 90/43а,2019,2.85,Специалист,nan,черновая отделка
1,45.8,10,3,59600000,бостандыкский,nan,радостовца 270,2022,3.0,Специалист,совмещенный,дргуой ремонт
2,67.0,5,4,28400000,алатауский,мкр зердели (алгабас-6) 1/36 — момышулы монке би,nan,2012,2.8,Специалист,раздельный,после ремонта
3,93.0,9,2,55000000,алатауский,мкр нуркент (алгабас-1),nan,2018,3.0,Хозяин недвижимости,2 с/у и более,дргуой ремонт
4,144.0,3,3,77000000,ауэзовский,мкр жетысу-2 — улугбека саина,nan,2006,2.8,Хозяин недвижимости,раздельный,nan
3,132.0,16,5,55000000,наурызбайский,мкр шугыла,nan,2012,2.8,Хозяин недвижимости,раздельный,nan
3,123.0,13,5,91000000,бостандыкский,nan,аль-фараби 101 — аль-фараби,2005,3.0,Хозяин недвижимости,nan,nan
3,116.0,15,10,127000000,алмалинский,nan,наурызбай батыра 50 — жибек жолы,2019,2.75,Хозяин недвижимости,2 с/у и более,качественный ремонт
2,41.8,4,2,28500000,бостандыкский,nan,ул. габдуллина — ул. байзакова,1963,2.4,Хозяин недвижимости,совмещенный,nan
1,50.0,9,4,34000000,ауэзовский,мкр мамыр-4 311,nan,2006,nan,Хозяин недвижимости,совмещенный,дргуой ремонт
3,61.3,5,3,36999999,алмалинский,nan,маметовой — панфилова,1971,2.65,Специалист,раздельный,nan
2,83.0,16,4,85000000,бостандыкский,nan,торайгырова 19а — между пр. саина и ул.мустафина,2011,2.8,Хозяин недвижимости,раздельный,хороший ремонт
1,23.7,7,1,16800000,турксибский,микрорайон кайрат 303,nan,2022,2.7,Хозяин недвижимости,nan,nan
3,90.0,9,7,56000000,алатауский,мкр аккент 23,nan,2015,2.8,Хозяин недвижимости,2 с/у и более,дргуой ремонт
4,140.0,10,9,96000000,ауэзовский,мкр мамыр-2,nan,2005,2.7,Хозяин недвижимости,2 с/у и более,дргуой ремонт
3,143.0,22,5,221650000,бостандыкский,nan,аль-фараби 77/2,2015,2.8,Хозяин недвижимости,раздельный,дргуой ремонт
3,64.0,5,5,63300000,бостандыкский,nan,утепова — розыбакиева,1989,2.8,Специалист,раздельный,nan
2,69.0,10,7,49500000,ауэзовский,мкр таугуль-2 38 — навои-черепанова,nan,2008,2.8,Хозяин недвижимости,раздельный,nan
