numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
4,160.85,,,129645100,бостандыкский,,2025,3.0,True,новостройка,2 с/у и более,verdi,,Алматы
2,72.0,,,79200000,,,2024,3.0,True,новостройка,2 с/у и более,boulevard residence,,Алматы
1,38.3,,,25929100,жетысуский,,2025,3.0,True,новостройка,совмещенный,rams saiahat,,Алматы
6,340.6,,,161785000,бостандыкский,,2013,3.0,True,новостройка,2 с/у и более,тан нуры,,Алматы
3,87.0,16.0,5.0,90000000,бостандыкский,,2019,3.0,False,крыша агент,2 с/у и более,дом на абая,,Алматы
1,41.4,18.0,15.0,40500000,бостандыкский,,2022,3.0,False,крыша агент,совмещенный,terracotta,,Алматы
3,81.9,10.0,9.0,41600000,жетысуский,,2022,2.6,False,крыша агент,раздельный,satay,,Алматы
2,65.57,10.0,6.0,30500000,,,2020,2.72,False,крыша агент,совмещенный,alma city 3,,Алматы
2,65.0,13.0,2.0,34500000,алмалинский,,2024,3.0,False,крыша агент,,12 месяцев,,Алматы
3,58.6,4.0,4.0,30000000,ауэзовский,,1966,2.7,False,специалист,совмещенный,,,Алматы
2,60.0,12.0,10.0,29500000,наурызбайский,,2023,2.7,False,хозяин недвижимости,,sensata city,черновая отделка,Алматы
2,43.0,7.0,4.0,21500000,алатауский,,2016,2.8,False,хозяин недвижимости,совмещенный,sofia,после ремонта,Алматы
2,61.0,19.0,18.0,58000000,бостандыкский,,2016,3.0,False,хозяин недвижимости,совмещенный,тенгиз тауэрс,,Алматы
3,85.0,5.0,3.0,46990000,медеуский,,2018,2.7,False,хозяин недвижимости,2 с/у и более,,,Алматы
3,62.0,5.0,5.0,38500000,медеуский,,1974,,False,хозяин недвижимости,совмещенный,,,Алматы
2,56.0,15.0,12.0,48000000,бостандыкский,,2019,2.95,False,крыша агент,совмещенный,шахристан,,Алматы
3,60.0,10.0,4.0,41900000,ауэзовский,,2021,2.8,False,крыша агент,совмещенный,,,Алматы
2,76.0,9.0,1.0,33000000,наурызбайский,,2020,2.7,False,хозяин недвижимости,совмещенный,шугыла-сити,черновая отделка,Алматы
3,89.0,7.0,6.0,31950000,турксибский,,2023,2.8,False,крыша агент,,qazyna,черновая отделка,Алматы
3,93.1,16.0,13.0,76000000,алмалинский,,2024,2.8,False,крыша агент,2 с/у и более,oner,требует ремонта,Алматы
3,105.16,,,79921600,ауэзовский,,2024,3.0,True,новостройка,совмещенный,apple residence,,Алматы
2,99.0,,,126720000,медеуский,,2025,3.3,True,новостройка,2 с/у и более,vendome,,Алматы
3,104.5,,,115472500,медеуский,,2024,3.3,True,новостройка,2 с/у и более,meliora,,Алматы
2,62.0,12.0,10.0,44000000,алатауский,,2024,3.0,False,крыша агент,совмещенный,guldala,свежий ремонт,Алматы
1,40.3,10.0,10.0,31500000,бостандыкский,,2018,2.85,False,крыша агент,совмещенный,freedom,,Алматы
2,177.6,,,195360000,медеуский,,2025,3.3,True,новостройка,совмещенный,vendome,,Алматы
3,70.63,,,33196100,турксибский,,2025,2.7,True,новостройка,совмещенный,dream city. eco,,Алматы
2,47.53,,,20675550,,,2022,2.7,True,новостройка,совмещенный,ashyq tobe,,Бесагаш
2,73.4,,,23488000,алатауский,,2023,3.0,True,новостройка,2 с/у и более,каспий,,Алматы
1,39.9,,,17556000,жетысуский,,2024,2.7,True,новостройка,совмещенный,jetisu park,,Алматы
1,42.1,17.0,3.0,35000000,ауэзовский,,2013,3.2,False,крыша агент,совмещенный,спутник,,Алматы
3,76.0,5.0,5.0,33500000,турксибский,,2017,2.75,False,крыша агент,раздельный,,,Алматы
1,37.3,13.0,2.0,26000000,жетысуский,,2023,2.7,False,крыша агент,совмещенный,jetisu park,,Алматы
2,66.22,,,27812400,турксибский,,2024,2.8,True,новостройка,совмещенный,qazyna,,Алматы
4,150.4,,,144384000,бостандыкский,,2024,3.0,True,новостройка,2 с/у и более,metropole,,Алматы
2,61.4,9.0,8.0,36500000,ауэзовский,,2014,,False,специалист,раздельный,,,Алматы
1,41.0,12.0,2.0,37500000,бостандыкский,,2024,3.0,False,крыша агент,,union,дргуой ремонт,Алматы
1,48.5,18.0,16.0,33500000,алмалинский,,2012,2.8,False,крыша агент,совмещенный,алтын булак,,Алматы
3,103.0,12.0,8.0,110000000,бостандыкский,,2021,3.0,False,крыша агент,2 с/у и более,basenova10,,Алматы
1,46.0,10.0,9.0,23000000,алатауский,,2015,2.7,False,крыша агент,совмещенный,,после ремонта,Алматы
1,40.0,16.0,7.0,31999990,ауэзовский,,2023,3.0,False,крыша агент,совмещенный,everest,дргуой ремонт,Алматы
4,150.7,6.0,4.0,160000000,бостандыкский,,2021,3.0,False,крыша агент,2 с/у и более,remizovka,,Алматы
1,45.0,16.0,15.0,20000000,наурызбайский,,2012,2.0,False,специалист,,,,Алматы
1,45.0,16.0,15.0,20000000,наурызбайский,,2012,2.0,False,специалист,,,,Алматы
10,467.5,5.0,1.0,760000000,бостандыкский,,2003,3.0,False,специалист,2 с/у и более,ботанический cад,дргуой ремонт,Алматы
2,55.0,9.0,8.0,30000000,медеуский,,2022,2.7,False,крыша агент,совмещенный,,свежий ремонт,Алматы
3,76.0,21.0,15.0,74000000,бостандыкский,,2023,3.0,False,крыша агент,2 с/у и более,al’farabi 27,,Алматы
2,55.0,5.0,1.0,53000000,бостандыкский,,1986,2.8,False,крыша агент,совмещенный,,хороший ремонт,Алматы
1,22.0,12.0,5.0,15500000,наурызбайский,,2022,2.8,False,крыша агент,совмещенный,elaman,,Алматы
2,67.0,11.0,10.0,47500000,ауэзовский,,2010,3.0,False,крыша агент,2 с/у и более,,,Алматы
1,46.3,13.0,8.0,38500000,бостандыкский,,2014,2.7,False,крыша агент,совмещенный,асыл тау,,Алматы
2,51.0,5.0,1.0,30400000,медеуский,,2019,2.7,False,крыша агент,раздельный,меркур град,,Алматы
1,39.5,5.0,2.0,25000000,алатауский,,2017,2.8,False,крыша агент,совмещенный,,дргуой ремонт,Алматы
2,48.0,9.0,1.0,25000000,турксибский,,1989,2.7,False,крыша агент,раздельный,,,Алматы
2,61.0,5.0,5.0,36400000,медеуский,,2021,2.8,False,крыша агент,совмещенный,меркур град,,Алматы
2,37.0,2.0,2.0,16000000,турксибский,,1962,,False,крыша агент,совмещенный,,требует ремонта,Алматы
2,41.0,4.0,4.0,25500000,ауэзовский,,1974,,False,крыша агент,совмещенный,,свежий ремонт,Алматы
2,75.0,10.0,7.0,33500000,наурызбайский,,2022,2.7,False,крыша агент,раздельный,alma city,дргуой ремонт,Алматы
1,38.4,5.0,5.0,36000000,бостандыкский,,1989,2.7,False,крыша агент,совмещенный,,,Алматы
2,62.0,12.0,9.0,55000000,бостандыкский,,2022,2.74,False,крыша агент,совмещенный,акварель,,Алматы
2,59.7,17.0,9.0,40000000,бостандыкский,,2023,2.7,False,крыша агент,,rams city,черновая отделка,Алматы
3,58.0,5.0,1.0,36500000,бостандыкский,,1976,2.5,False,крыша агент,,,хороший ремонт,Алматы
1,31.0,10.0,6.0,17500000,наурызбайский,,2021,,False,крыша агент,совмещенный,alma city,,Алматы
4,102.0,18.0,5.0,90000000,бостандыкский,,2022,3.1,False,крыша агент,раздельный,terracotta,,Алматы
2,67.0,13.0,13.0,65000000,бостандыкский,,2022,2.8,False,крыша агент,совмещенный,four seasons,свежий ремонт,Алматы
2,41.1,2.0,1.0,20000000,ауэзовский,,1961,2.5,False,крыша агент,совмещенный,,,Алматы
2,55.1,15.0,4.0,45000000,бостандыкский,,2024,2.7,False,хозяин недвижимости,совмещенный,rams city,качественный ремонт,Алматы
2,50.0,12.0,8.0,27500000,,,2023,2.8,False,крыша агент,совмещенный,,качественный ремонт,Алматы
2,80.0,12.0,6.0,52000000,ауэзовский,,2007,2.8,False,крыша агент,совмещенный,,,Алматы
2,44.0,5.0,4.0,23500000,ауэзовский,,1974,,False,крыша агент,раздельный,,,Алматы
1,45.0,12.0,8.0,28000000,алатауский,,2021,3.0,False,крыша агент,совмещенный,,,Алматы
2,69.0,9.0,6.0,36000000,жетысуский,,2006,,False,крыша агент,раздельный,,,Алматы
1,31.1,4.0,2.0,23500000,ауэзовский,,1969,2.5,False,крыша агент,совмещенный,,,Алматы
2,56.0,3.0,3.0,57500000,бостандыкский,,2021,3.15,False,крыша агент,совмещенный,alma villa,,Алматы
2,44.0,4.0,3.0,31000000,турксибский,,2023,3.0,False,крыша агент,совмещенный,атмосфера,евроремонт,Алматы
2,60.28,10.0,2.0,24500000,наурызбайский,,2023,2.7,False,крыша агент,раздельный,abai city,черновая отделка,Алматы
2,80.0,12.0,10.0,56000000,ауэзовский,,2023,2.75,False,крыша агент,совмещенный,navoi 3.0,евроремонт,Алматы
1,38.55,,,11565000,,,2024,2.8,True,новостройка,совмещенный,жана куат (кг),,Жана Куат
2,59.36,,,30867200,алатауский,,2025,3.0,True,новостройка,совмещенный,arena city. life,,Алматы
2,52.83,,,47018700,алмалинский,,2024,3.0,True,новостройка,совмещенный,palladium,,Алматы
2,85.06,,,93566000,медеуский,,2024,3.0,True,новостройка,2 с/у и более,alma tau residence,,Алматы
1,38.1,12.0,8.0,36500000,бостандыкский,,2023,2.74,False,крыша агент,совмещенный,акварель,качественный ремонт,Алматы
2,63.0,3.0,1.0,53000000,наурызбайский,,2022,3.2,False,крыша агент,совмещенный,lafayette,,Алматы
1,30.0,12.0,9.0,21450000,бостандыкский,,2024,2.7,False,крыша агент,совмещенный,auezov city,,Алматы
2,95.0,20.0,18.0,54900000,алмалинский,,2011,2.8,False,крыша агент,совмещенный,манхеттан (29 квартал),свежий ремонт,Алматы
2,46.82,,,31369400,алатауский,,2025,3.0,True,новостройка,2 с/у и более,arena city. life,,Алматы
4,133.72,,,102964400,алмалинский,,2022,2.7,True,новостройка,,oner,,Алматы
1,41.4,,,33120000,бостандыкский,,2025,3.0,True,новостройка,совмещенный,elif garden,,Алматы
3,128.0,18.0,5.0,59999999,алмалинский,,2012,2.8,False,хозяин недвижимости,,алтын булак,,Алматы
1,32.9,5.0,4.0,21000000,жетысуский,,1987,2.8,False,крыша агент,совмещенный,,,Алматы
1,42.57,12.0,2.0,27000000,алатауский,,2024,2.7,False,крыша агент,совмещенный,arena park,,Алматы
1,65.0,16.0,6.0,24800000,наурызбайский,,2012,2.8,False,крыша агент,,премьера,,Алматы
3,123.3,,,154125000,медеуский,,2025,3.3,True,новостройка,2 с/у и более,vendome,,Алматы
4,136.94,,,150634000,,,2024,3.0,True,новостройка,2 с/у и более,boulevard residence,,Алматы
1,55.9,,,48074000,бостандыкский,,2023,3.0,True,новостройка,совмещенный,etasa residence,,Алматы
2,67.51,,,29201586,,,2024,3.0,True,новостройка,совмещенный,nova 23,,Туздыбастау (Калинино)
1,21.0,4.0,2.0,12900000,наурызбайский,,2014,3.0,False,крыша агент,совмещенный,,,Алматы
1,41.0,6.0,4.0,19800000,алатауский,,2024,2.9,False,крыша агент,совмещенный,buta fenomen,черновая отделка,Алматы
3,102.0,18.0,12.0,80000000,бостандыкский,,2022,3.0,False,крыша агент,совмещенный,terracotta,дргуой ремонт,Алматы
3,118.4,,,117808000,бостандыкский,,2024,3.0,True,новостройка,2 с/у и более,metropole,,Алматы
3,58.0,5.0,5.0,36900000,ауэзовский,,1986,2.5,False,хозяин недвижимости,совмещенный,,дргуой ремонт,Алматы
3,62.0,5.0,4.0,38000000,бостандыкский,,1972,,False,специалист,раздельный,,,Алматы
3,216.3,,,134106000,бостандыкский,,2022,3.0,True,новостройка,2 с/у и более,silver hills,,Алматы
1,49.7,10.0,4.0,22500000,турксибский,,2021,2.7,False,крыша агент,,теремки,черновая отделка,Алматы
2,46.0,10.0,4.0,23499999,наурызбайский,,2021,2.8,False,крыша агент,совмещенный,alma city,,Алматы
1,39.3,6.0,4.0,18800000,жетысуский,,2008,2.7,False,крыша агент,совмещенный,,,Алматы
3,80.0,9.0,6.0,43500000,алатауский,,2011,2.8,False,крыша агент,2 с/у и более,,свежий ремонт,Алматы
2,69.0,16.0,8.0,50000000,бостандыкский,,2013,2.8,False,крыша агент,совмещенный,толе би тау,,Алматы
2,85.0,10.0,4.0,75000000,медеуский,,2021,,False,крыша агент,2 с/у и более,ush qońyr,дргуой ремонт,Алматы
4,140.2,,,112160000,бостандыкский,,2023,3.0,True,новостройка,2 с/у и более,etasa residence,,Алматы
2,67.3,,,47110000,алмалинский,,2023,2.9,True,новостройка,2 с/у и более,aurus,,Алматы
1,45.06,,,36358914,бостандыкский,,2025,3.0,True,новостройка,совмещенный,tumar,,Алматы
2,61.4,,,25788000,турксибский,,2024,2.8,True,новостройка,совмещенный,qazyna,,Алматы
2,70.0,10.0,9.0,54000000,бостандыкский,,2013,2.8,False,хозяин недвижимости,совмещенный,,,Алматы
3,95.0,3.0,2.0,95500000,бостандыкский,,2015,,False,специалист,2 с/у и более,,свежий ремонт,Алматы
1,42.3,12.0,2.0,25500000,ауэзовский,,2024,3.0,False,крыша агент,,everest,,Алматы
2,55.3,12.0,8.0,24500000,алатауский,,2024,3.0,False,крыша агент,совмещенный,alatau city,черновая отделка,Алматы
2,72.9,13.0,12.0,35000000,ауэзовский,,2024,3.0,False,крыша агент,совмещенный,new life,требует ремонта,Алматы
2,55.7,9.0,5.0,30500000,жетысуский,,2016,,False,крыша агент,раздельный,,,Алматы
2,56.17,17.0,6.0,32500000,бостандыкский,,2024,3.0,False,крыша агент,,кристалл,черновая отделка,Алматы
1,48.0,9.0,6.0,21000000,турксибский,,2024,2.7,False,крыша агент,,time city,черновая отделка,Алматы
1,43.9,12.0,6.0,32700000,алмалинский,,2024,2.7,False,крыша агент,совмещенный,auezov city,черновая отделка,Алматы
2,60.0,6.0,3.0,26000000,турксибский,,2007,2.8,False,крыша агент,раздельный,,,Алматы
2,56.0,5.0,3.0,17000000,,,1986,2.75,False,крыша агент,раздельный,,,Алматы
4,141.75,,,122188500,бостандыкский,,2025,3.0,True,новостройка,2 с/у и более,verdi,,Алматы
2,67.9,,,28518000,турксибский,,2024,2.8,True,новостройка,совмещенный,qazyna,,Алматы
3,98.1,,,71122500,бостандыкский,,2024,2.85,True,новостройка,2 с/у и более,riviera,,Алматы
2,48.0,20.0,10.0,51000000,бостандыкский,,2023,3.0,False,крыша агент,,комфорт сити,дргуой ремонт,Алматы
1,35.5,9.0,2.0,27000000,алатауский,,2017,2.7,False,крыша агент,совмещенный,,,Алматы
3,98.0,10.0,10.0,60000000,турксибский,,2021,2.7,False,крыша агент,раздельный,теремки,дргуой ремонт,Алматы
2,65.0,14.0,3.0,51500000,ауэзовский,,2023,2.7,False,крыша агент,совмещенный,navoi 3.0,свежий ремонт,Алматы
4,106.0,,,47499978,,,2024,3.2,True,новостройка,2 с/у и более,alatau villas,,Туздыбастау (Калинино)
3,95.0,10.0,7.0,45500000,алатауский,,2010,2.8,False,хозяин недвижимости,раздельный,,,Алматы
2,53.0,16.0,10.0,32999990,медеуский,,2022,2.85,False,крыша агент,раздельный,ush qońyr,черновая отделка,Алматы
1,40.0,9.0,6.0,23500000,алатауский,,2018,3.0,False,крыша агент,совмещенный,,,Алматы
2,71.4,9.0,5.0,34000000,наурызбайский,,2020,2.7,False,крыша агент,совмещенный,,,Алматы
2,60.0,15.0,5.0,57000000,алмалинский,,2022,2.7,False,крыша агент,совмещенный,auezov city,,Алматы
3,87.8,,,54875000,алмалинский,,2025,3.0,True,новостройка,2 с/у и более,rams evo,,Алматы
1,46.7,,,22258434,,,2024,3.0,True,новостройка,совмещенный,nova 23,,Туздыбастау (Калинино)
4,163.3,,,144520500,бостандыкский,,2024,2.95,True,новостройка,2 с/у и более,orion 3,,Алматы
2,60.5,,,33880000,наурызбайский,,2023,3.0,True,новостройка,совмещенный,kamenka park,,Алматы
2,45.0,12.0,7.0,45000000,бостандыкский,,2016,2.7,False,хозяин недвижимости,совмещенный,zodiac,,Алматы
3,120.0,15.0,11.0,103000000,бостандыкский,,2023,3.0,False,хозяин недвижимости,,4you,,Алматы
2,66.0,12.0,11.0,44000000,ауэзовский,,1993,2.8,False,крыша агент,раздельный,,дргуой ремонт,Алматы
2,54.6,6.0,1.0,32000000,алатауский,,2022,2.85,False,крыша агент,,ырысты,,Алматы
5,258.0,,,150930000,,,2024,4.3,True,новостройка,2 с/у и более,villagio,,Туздыбастау (Калинино)
3,87.1,12.0,12.0,65325000,медеуский,,2020,3.0,False,хозяин недвижимости,,медеу парк,черновая отделка,Алматы
1,41.2,4.0,3.0,25300000,турксибский,,1976,3.0,False,хозяин недвижимости,совмещенный,,,Алматы
2,63.4,10.0,7.0,38000000,жетысуский,,2018,2.8,False,хозяин недвижимости,2 с/у и более,айнабулак,,Алматы
2,92.0,18.0,12.0,68000000,бостандыкский,,2017,3.0,False,хозяин недвижимости,2 с/у и более,оркендеу,,Алматы
1,41.0,12.0,2.0,25950000,алатауский,,2019,2.7,False,крыша агент,совмещенный,,,Алматы
