numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
3,82.0,12.0,7.0,31000000,есильский,,2018,2.7,False,специалист,2 с/у и более,шыгыс,,Астана
1,45.0,9.0,9.0,12000000,алматинский,,2024,2.7,False,крыша агент,,safar,черновая отделка,Астана
2,58.0,9.0,1.0,24900000,алматинский,,2016,2.7,False,крыша агент,раздельный,,,Астана
3,100.0,10.0,9.0,31000000,сарыаркинский,,1999,2.7,False,хозяин недвижимости,раздельный,,,Астана
4,141.0,18.0,10.0,126000000,есильский,,2019,3.0,False,специалист,2 с/у и более,park avenue,,Астана
3,106.1,12.0,12.0,34000000,сарыаркинский,,2010,2.8,False,специалист,,запад по ул. сарыарка,,Астана
3,115.0,13.0,7.0,50000000,сарыаркинский,,2004,3.0,False,специалист,2 с/у и более,сана,,Астана
1,38.0,12.0,11.0,23200000,есильский,,2022,3.0,False,крыша агент,совмещенный,madrid,,Астана
3,84.0,17.0,10.0,43000000,есильский,,2010,2.7,False,крыша агент,2 с/у и более,светлый,дргуой ремонт,Астана
1,49.4,15.0,10.0,23500000,есильский,,2014,2.7,False,крыша агент,,грация,дргуой ремонт,Астана
1,45.0,9.0,5.0,18900000,алматинский,,2023,2.75,False,крыша агент,,grand victoria,черновая отделка,Астана
3,102.6,,,48319572,есильский,,2024,3.0,True,новостройка,2 с/у и более,buqar jyrau exclusive,,Астана
1,30.57,,,17547180,нуринский,,2025,3.0,True,новостройка,совмещенный,greenline.astra,,Астана
1,36.69,,,14529240,есильский,,2025,3.0,True,новостройка,совмещенный,samal park,,Астана
3,84.0,12.0,2.0,20500000,алматинский,,2009,2.7,False,специалист,совмещенный,шанырак,,Астана
2,58.0,10.0,10.0,16000000,алматинский,,2012,2.7,False,специалист,совмещенный,туран,,Астана
2,59.0,10.0,9.0,19400000,алматинский,,2015,2.7,False,новостройка,раздельный,,,Астана
1,39.4,9.0,7.0,17500000,алматинский,,2023,2.7,False,хозяин недвижимости,совмещенный,керей,,Астана
1,37.0,14.0,5.0,16000000,алматинский,,2011,2.7,False,крыша агент,совмещенный,кулан,,Астана
1,41.9,14.0,5.0,17000000,сарыаркинский,,2014,2.7,False,крыша агент,совмещенный,по тлендиева,,Астана
2,48.0,5.0,2.0,21500000,алматинский,,1978,2.7,False,крыша агент,раздельный,,,Астана
3,154.5,,,103515000,есильский,,2023,3.3,True,новостройка,2 с/у и более,royal expo apartments,,Астана
2,75.55,,,43063500,нуринский,,2024,3.0,True,новостройка,2 с/у и более,evolution,,Астана
2,75.55,,,43063500,нуринский,,2024,3.0,True,новостройка,2 с/у и более,evolution,,Астана
1,58.3,14.0,14.0,22500000,сарыаркинский,,2012,2.7,False,хозяин недвижимости,совмещенный,по тлендиева,,Астана
2,85.0,16.0,15.0,40000000,есильский,,2016,3.2,False,хозяин недвижимости,,арай-3,черновая отделка,Астана
1,36.0,16.0,11.0,18700000,байконурский,,2016,2.8,False,хозяин недвижимости,совмещенный,алмалы,,Астана
2,42.56,,,18513600,нуринский,,2024,2.7,True,новостройка,совмещенный,arena garden,,Астана
1,34.0,9.0,3.0,15000000,сарыаркинский,,2020,2.6,False,крыша агент,совмещенный,,,Астана
1,36.9,9.0,6.0,14500000,алматинский,,2022,2.8,False,крыша агент,совмещенный,"баскару 2,3,4,5",свежий ремонт,Астана
